starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
2016-05-13 21:15:00,2016-05-13 21:37:00,2016-05-13,9:15 PM,9:37 PM,Cleaning,5th floor,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-13 21:37:00,2016-05-13 21:50:00,2016-05-13,9:37 PM,9:50 PM,Waiting for Sarah and Sol,5th floor cage,Anxious,3,,,,3,,,,,,0,3,0,0,3,3
2016-05-13 21:50:00,2016-05-13 22:05:00,2016-05-13,9:50 PM,10:05 PM,Walking to 6 E 16th st,,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-13 22:05:00,2016-05-13 22:08:00,2016-05-13,10:05 PM,10:08 PM,Looking for Boris,D12,Anxious,3,,,,3,,,,,,0,3,0,0,3,3
2016-05-13 22:08:00,2016-05-13 22:13:00,2016-05-13,10:08 PM,10:13 PM,Talking to Karen,D12,Calm,4,,,4,,,,,,,4,0,0,4,0,0
2016-05-13 22:13:00,2016-05-13 22:18:00,2016-05-13,10:13 PM,10:18 PM,Looking for Boris,D12,Confused,6,,,,6,,,,,,0,6,0,0,6,6
2016-05-13 22:18:00,2016-05-13 22:25:00,2016-05-13,10:18 PM,10:25 PM,Waiting for Boris to stop wasting time,D12,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-13 22:45:00,2016-05-13 00:10:00,2016-05-13,10:45 PM,12:10 AM,Dinner with Boris,BCD Tofu,Happy,8,,8,,,,,,,,8,0,8,8,0,0
2016-05-13 00:10:00,2016-05-13 02:00:00,2016-05-13,12:10 AM,2:00 AM,"Train, walking home",,"Anxious, tired",7,,,,7,,,,,,0,7,0,0,7,7
2016-05-14 11:00:00,2016-05-14 12:20:00,2016-05-14,11:00 AM,12:20 PM,Train to St. Marks,,Anxious,4,,,,4,,,,,,0,4,0,0,4,4
2016-05-14 12:20:00,2016-05-14 12:20:00,2016-05-14,12:20 PM,12:20 PM,Met up with Sarah and Tina,Sobaya,Happy,8,,8,,,,,,,,8,0,8,8,0,0
2016-05-14 12:20:00,2016-05-14 13:00:00,2016-05-14,12:20 PM,1:00 PM,Eating with Sarah and Tina,Sobaya,Happy,8,,8,,,,,,,,8,0,8,8,0,0
2016-05-14 13:03:00,2016-05-14 13:20:00,2016-05-14,1:03 PM,1:20 PM,Eating ice cream with Sarah and Tina,Sundaes and Cones,Happy,8,,8,,,,,,,,8,0,8,8,0,0
2016-05-14 13:30:00,2016-05-14 13:40:00,2016-05-14,1:30 PM,1:40 PM,Walking to train stations with Tina,,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-14 13:50:00,2016-05-14 15:41:00,2016-05-14,1:50 PM,3:41 PM,Scanning for Barb,3rd floor lbs,Calm,7,,,7,,,,,,,7,0,0,7,0,0
2016-05-14 15:41:00,2016-05-14 16:00:00,2016-05-14,3:41 PM,4:00 PM,Filing for Barb,Barb's office,Calm,7,,,7,,,,,,,7,0,0,7,0,0
2016-05-14 16:00:00,2016-05-14 17:39:00,2016-05-14,4:00 PM,5:39 PM,Harassing Boris/Helping Boris with cover letter,4th floor cage,"Amused, frustrated",6,,6,,,,6,,,,6,6,6,6,6,0
2016-05-14 17:39:00,2016-05-14 18:00:00,2016-05-14,5:39 PM,6:00 PM,Train to 42nd St,,,,,,,,,,,,,0,0,0,0,0,0
